name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
David Dietz,male,male,1937,Reporting,Scripps-Howard,,no,David,,note
David Finkel,male,male,2006,Explanatory-Reporting,The Washington Post,,no,David,,
David Halberstam,male,male,1964,International-Reporting,Associated Press,The New York Times,no,David,y,
David Hanners,male,male,1989,Explanatory-Journalism,The Dallas Morning News,,no,David,,
David Hasemyer,male,male,2013,National-Reporting,InsideClimate News,,no,David,,
David Horsey,male,male,1999,Editorial-Cartooning,The Seattle Post-Intelligencer,,no,David,,
David Kocieniewski,male,male,2012,Explanatory-Reporting,The New York Times,,no,David,,
David Leeson,male,male,2004,Breaking-News-Photography,The Dallas Morning News,,no,David,,
David Leonhardt,male,male,2011,Commentary,The New York Times,,no,David,,
David Maraniss,male,male,1993,National-Reporting,The Washington Post,,no,David,,
David Moats,male,male,2001,Editorial-Writing,Rutland (VT) Herald,,no,David,,
David Peterson,male,male,1987,Feature-Photography,Des Moines Register,,no,David,,
David Philipps,male,male,2014,National-Reporting,The Gazette,,no,David,,
David Rohde,male,male,1996,International-Reporting,The Christian Science Monitor,,no,David,,
David S. Broder,male,male,1973,Commentary,The Washington Post,,no,David,,
David Shaw,male,male,1991,Criticism,Los Angeles Times,,no,David,,
David Shribman,male,male,1995,Beat-Reporting,The Boston Globe,,no,David,,
