category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
International-Reporting,The Washington Post,,Mary Jordan,2003,no,Mary,mostly_female,,
Explanatory-Journalism,The Washington Post,,Lucian Perkins,1995,no,Lucian,male,,
Feature-Photography,The Washington Post,,Lucian Perkins,2000,no,Lucian,male,,
Local-Investigative-Specialized-Reporting,The Washington Post,,Loretta Tofani,1983,no,Loretta,female,,
Explanatory-Journalism,The Washington Post,,Leon Dash,1995,no,Leon,male,,
International-Reporting,The Washington Post,,Kevin Sullivan,2003,no,Kevin,male,,
Commentary,The Washington Post,,Kathleen Parker,2010,no,Kathleen,female,,
Public-Service,The Washington Post,,Katherine Boo,2000,no,Katherine,female,,
National-Reporting,The Washington Post,,Jo Becker,2008,no,Jo,andy,,
International-Reporting,The Washington Post,,Jimmie Lee Hoagland,1971,no,Jimmie,mostly_male,,
Commentary,The Washington Post,,Jim Hoagland,1991,no,Jim,male,,
Investigative-Reporting,The Washington Post,,James V. Grimaldi,2006,no,James,male,,
Editorial-Cartooning,The Washington Post,,Herbert L. Block,1979,no,Herbert,male,,
Editorial-Writing,The Washington Post,,Herbert Elliston,1949,no,Herbert,male,,
Criticism,The Washington Post,,Henry Allen,2000,no,Henry,male,,
International-Reporting,The Washington Post,,Glenn Frankel,1989,no,Glenn,male,,
Feature-Writing,The Washington Post,,George Lardner Jr.,1993,no,George,male,,
Feature-Writing,The Washington Post,,Gene Weingarten,2010,no,Gene,mostly_male,,
Feature-Writing,The Washington Post,,Gene Weingarten,2008,no,Gene,mostly_male,,
Commentary,The Washington Post,,Eugene Robinson,2009,no,Eugene,male,,
Explanatory-Reporting,The Washington Post,,Eli Saslow,2014,no,Eli,female,,
Telegraphic-Reporting-(National),The Washington Post,,Edward T. Folliard,1947,no,Edward,male,,
Commentary,The Washington Post,,David S. Broder,1973,no,David,male,,
National-Reporting,The Washington Post,,David Maraniss,1993,no,David,male,,
Explanatory-Reporting,The Washington Post,,David Finkel,2006,no,David,male,,
Explanatory-Journalism,The Washington Post,,David A. Vise,1990,no,David,male,,
Beat-Reporting,The Washington Post,,Dana Priest,2006,no,Dana,female,,
Commentary,The Washington Post,,Colbert I. King,2003,no,Colbert,male,,
International-Reporting,The Washington Post,,Caryle Murphy,1991,no,Caryle,andy,,
Breaking-News-Photography,The Washington Post,,Carol Guzy,2011,no,Carol,mostly_female,,
Feature-Photography,The Washington Post,,Carol Guzy,2000,no,Carol,mostly_female,,
Spot-News-Photography,The Washington Post,,Carol Guzy,1995,no,Carol,mostly_female,,
National-Reporting,The Washington Post,,Carol D. Leonnig,2015,no,Carol,mostly_female,,
National-Reporting,The Washington Post,,Barton Gellman,2008,no,Barton,male,,
International-Reporting,The Washington Post,,Anthony Shadid,2010,no,Anthony,male,,
International-Reporting,The Washington Post,,Anthony Shadid,2004,no,Anthony,male,,
International-Reporting,The Washington Post,,Alfred Friendly,1968,no,Alfred,male,,
Criticism,The Washington Post,,Alan M. Kriegsman,1976,no,Alan,male,,
Editorial-Writing,The Wall Street Journal,,William H. Grimes,1947,no,William,male,,
Specialized-Reporting,The Wall Street Journal,,Walt Bogdanich,1988,no,Walt,male,,
Commentary,The Wall Street Journal,,Vermont Royster,1984,no,Vermont,andy,,
Editorial-Writing,The Wall Street Journal,,Vermont Connecticut Royster,1953,no,Vermont,andy,,
National-Reporting,The Wall Street Journal,,Tony Horwitz,1995,no,Tony,male,,
Explanatory-Reporting,The Wall Street Journal,,Thomas M. Burton,2004,no,Thomas,male,,
Explanatory-Journalism,The Wall Street Journal,,Susan C. Faludi,1991,no,Susan,female,,
National-Reporting,The Wall Street Journal,,Stanley Penn,1967,no,Stanley,male,,
Feature-Writing,The Wall Street Journal,,Ron Suskind,1995,no,Ron,male,,
Editorial-Writing,The Wall Street Journal,,Robert L. Bartley,1980,no,Robert,male,,
International-Reporting,The Wall Street Journal,,Peter R. Kann,1972,no,Peter,male,,
Beat-Reporting,The Wall Street Journal,,Paul Ingrassia,1993,no,Paul,male,,
Commentary,The Wall Street Journal,,Paul A. Gigot,2000,no,Paul,male,,
Local-General-or-Spot-News-Reporting,The Wall Street Journal,,Norman C. Miller,1964,no,Norman,male,,
National-Reporting,The Wall Street Journal,,Monroe Karmin,1967,no,Monroe,male,,
Criticism,The Wall Street Journal,,Manuela Hoelterhoff,1983,no,Manuela,female,,
National-Reporting,The Wall Street Journal,,Louis M. Kohlmeier,1965,no,Louis,male,,
Explanatory-Reporting,The Wall Street Journal,,Kevin Helliker,2004,no,Kevin,male,,
International-Reporting,The Wall Street Journal,,Karen Elliott House,1984,no,Karen,female,,
Editorial-Writing,The Wall Street Journal,,Joseph Rago,2011,no,Joseph,male,,
Beat-Reporting,The Wall Street Journal,,Joseph B. White,1993,no,Joseph,male,,
Criticism,The Wall Street Journal,,Joe Morgenstern,2005,no,Joe,male,,
Explanatory-Journalism,The Wall Street Journal,,James B. Stewart,1988,no,James,male,,
International-Reporting,The Wall Street Journal,,Ian Johnson,2001,no,Ian,male,,
National-Reporting,The Wall Street Journal,,Edward R. Cony,1961,no,Edward,male,,
Commentary,The Wall Street Journal,,Dorothy Rabinowitz,2001,no,Dorothy,female,,
Explanatory-Journalism,The Wall Street Journal,,Daniel Hertzberg,1988,no,Daniel,male,,
Beat-Reporting,The Wall Street Journal,,Daniel Golden,2004,no,Daniel,male,,
Commentary,The Wall Street Journal,,Bret Stephens,2013,no,Bret,male,,
Feature-Writing,The Wall Street Journal,,Angelo B. Henderson,1999,no,Angelo,male,,
Beat-Reporting,The Wall Street Journal,,Amy Dockser Marcus,2005,no,Amy,female,,
National-Reporting,The Wall Street Journal,,Alix M. Freedman,1996,no,Alix,mostly_female,,
Feature-Writing,The Village Voice,,Teresa Carpenter,1981,no,Teresa,female,,
