category,publication,name,year
Editorial-Writing,Emporia (KS) Gazette,William Allen White,1923
Editorial-Writing,New York Herald,Frank M. O'Brien,1922
Editorial-Writing,No Award,No Award,1921
Editorial-Writing,Evening World Herald,Harvey E. Newbranch,1920
Editorial-Writing,No Award,No Award,1919
Editorial-Writing,Louisville Courier Journal,No author named,1918
Editorial-Writing,New York Tribune,No author named,1917
Explanatory-Journalism,The Philadelphia Inquirer,Ron Cortes,1997
Explanatory-Journalism,The Philadelphia Inquirer,April Saul,1997
Explanatory-Journalism,The Philadelphia Inquirer,Michael Vitez,1997
Explanatory-Journalism,Newsday,Laurie Garrett,1996
Explanatory-Journalism,The Washington Post,Lucian Perkins,1995
Explanatory-Journalism,The Washington Post,Leon Dash,1995
Explanatory-Journalism,Chicago Tribune,Ronald Kotulak,1994
Explanatory-Journalism,The Atlanta Journal-Constitution,Mike Toner,1993
Explanatory-Journalism,Hartford (CT) Courant,Eric Lipton,1992
Explanatory-Journalism,Hartford (CT) Courant,Robert S. Capers,1992
Explanatory-Journalism,The Wall Street Journal,Susan C. Faludi,1991
Explanatory-Journalism,The Washington Post,Steve Coll,1990
Explanatory-Journalism,The Washington Post,David A. Vise,1990
Explanatory-Journalism,The Dallas Morning News,Karen Blessen,1989
Explanatory-Journalism,The Dallas Morning News,William Snyder,1989
Explanatory-Journalism,The Dallas Morning News,David Hanners,1989
Explanatory-Journalism,The Wall Street Journal,James B. Stewart,1988
Explanatory-Journalism,The Wall Street Journal,Daniel Hertzberg,1988
Explanatory-Journalism,Chicago Tribune,Peter Gorner,1987
Explanatory-Journalism,Chicago Tribune,Jeff Lyon,1987
Explanatory-Journalism,The New York Times,Staff,1986
Explanatory-Journalism,The Baltimore Evening Sun,Jon Franklin,1985
Explanatory-Reporting,Bloomberg News,Zachary R. Mider,2015
Explanatory-Reporting,The Washington Post,Eli Saslow,2014
Explanatory-Reporting,The New York Times,Staff,2013
Explanatory-Reporting,The New York Times,David Kocieniewski,2012
Explanatory-Reporting,Milwaukee Journal Sentinel,Alison Sherwood,2011
Explanatory-Reporting,Milwaukee Journal Sentinel,Lou Saldivar,2011
Explanatory-Reporting,Milwaukee Journal Sentinel,Gary Porter,2011
Explanatory-Reporting,Milwaukee Journal Sentinel,Kathleen Gallagher,2011
Explanatory-Reporting,Milwaukee Journal Sentinel,Mark Johnson,2011
Explanatory-Reporting,The New York Times ,staff,2010
Explanatory-Reporting,The New York Times ,Michael Moss,2010
Explanatory-Reporting,Los Angeles Times,Julie Cart,2009
Explanatory-Reporting,Los Angeles Times,Bettina Boxall,2009
Explanatory-Reporting,The New York Times,Amy Harmon,2008
Explanatory-Reporting,Los Angeles Times,Rick Loomis,2007
Explanatory-Reporting,Los Angeles Times,Usha Lee McFarling,2007
Explanatory-Reporting,Los Angeles Times,Kenneth R. Weiss,2007
Explanatory-Reporting,The Washington Post,David Finkel,2006
Explanatory-Reporting,The Boston Globe,Gareth Cook,2005
Explanatory-Reporting,The Wall Street Journal,Thomas M. Burton,2004
Explanatory-Reporting,The Wall Street Journal,Kevin Helliker,2004
Explanatory-Reporting,The Wall Street Journal,Staff,2003
Explanatory-Reporting,The New York Times,Staff,2002
Explanatory-Reporting,Chicago Tribune,Staff,2001
Explanatory-Reporting,Great Falls (Mont.) Tribune,Eric Newhouse,2000
Explanatory-Reporting,The Oregonian,Richard Read,1999
Explanatory-Reporting,Chicago Tribune,Paul F. Salopek,1998
Feature-Photography,"freelance photographer, The New York Times",Daniel Berehulak,2015
Feature-Photography,The New York Times,Josh Haner,2014
Feature-Photography,free-lance photographer,Javier Manzano,2013
Feature-Photography,The Denver Post,Craig F. Walker,2012
Feature-Photography,Los Angeles Times,Barbara Davidson,2011
Feature-Photography,The Denver Post,Craig F. Walker,2010
Feature-Photography,The New York Times,Damon Winter,2009
Feature-Photography,Concord (NH) Monitor,Preston Gannaway,2008
Feature-Photography,The Sacramento Bee,Ren_e C. Byer,2007
Feature-Photography,Rocky Mountain News,Todd Heisler,2006
Feature-Photography,San Francisco Chronicle,Deanne Fitzmaurice,2005
Feature-Photography,Los Angeles Times,Carolyn Cole,2004
Feature-Photography,Los Angeles Times,Don Bartletti,2003
Feature-Photography,The New York Times,Staff,2002
Feature-Photography,The Star-Ledger,Matt Rainey,2001
Feature-Photography,The Washington Post,Lucian Perkins,2000
Feature-Photography,The Washington Post,Michael Williamson,2000
Feature-Photography,The Washington Post,Carol Guzy,2000
Feature-Photography,Associated Press,Photo Staff,1999
Feature-Photography,Los Angeles Times,Clarence Williams,1998
Feature-Photography,Associated Press,Alexander Zemlianichenko,1997
Feature-Photography,a freelancer,Stephanie Welsh,1996
Feature-Photography,Associated Press,Staff,1995
Feature-Photography,a free-lance photographer,Kevin Carter,1994
Feature-Photography,Associated Press,Staff,1993
Feature-Photography,Block Newspapers,John Kaplan,1992
Feature-Photography,The Dallas Morning News,William Snyder,1991
Feature-Photography,Detroit Free Press,David C. Turnley,1990
Feature-Photography,Detroit Free Press,Manny Crisostomo,1989
Feature-Photography,The Miami Herald,Michel du Cille,1988
Feature-Photography,Des Moines Register,David Peterson,1987
Feature-Photography,The Philadelphia Inquirer,Tom Gralish,1986
Feature-Photography,The Philadelphia Inquirer,Larry C. Price,1985
Feature-Photography,The Boston Globe,Stan Grossfeld,1985
Feature-Photography,The Denver Post,Anthony Suau,1984
Feature-Photography,Dallas Times Herald,James B. Dickman,1983
Feature-Photography,Chicago Sun-Times,John H. White,1982
Feature-Photography,Detroit Free Press,Taro M. Yamasaki,1981
Feature-Photography,Dallas Times Herald,Erwin H. Hagler,1980
Feature-Photography,Boston Herald American,Staff Photographers,1979
Feature-Photography,Associated Press,J. Ross Baughman,1978
